"","Filename","Priority","Title","Author","Origin","Call Number","Page Number","Page Sort","Genre","Luna URL","Hamnet URL"
"5162","091555.jpg",11494,"Newdigate family collection of newsletters from the Secretary of State [manuscript], 1673/4-1715.","England and Wales. Secretary of State.","1673/4-1715","L.c.3463","1v",11564,"Newsletters","http://luna.folger.edu/luna/servlet/detail/FOLGERCM1~6~6~1195496~191730","http://hamnet.folger.edu/cgi-bin/Pwebrecon.cgi?BBID=245155"
"5163","091556.jpg",11495,"Newdigate family collection of newsletters from the Secretary of State [manuscript], 1673/4-1715.","England and Wales. Secretary of State.","1673/4-1715","L.c.3464","1r",11565,"Newsletters","http://luna.folger.edu/luna/servlet/detail/FOLGERCM1~6~6~1195497~191729","http://hamnet.folger.edu/cgi-bin/Pwebrecon.cgi?BBID=245155"
"5164","091557.jpg",11496,"Newdigate family collection of newsletters from the Secretary of State [manuscript], 1673/4-1715.","England and Wales. Secretary of State.","1673/4-1715","L.c.3464","1v",11566,"Newsletters","http://luna.folger.edu/luna/servlet/detail/FOLGERCM1~6~6~1195498~191728","http://hamnet.folger.edu/cgi-bin/Pwebrecon.cgi?BBID=245155"
"5165","091558.jpg",11497,"Newdigate family collection of newsletters from the Secretary of State [manuscript], 1673/4-1715.","England and Wales. Secretary of State.","1673/4-1715","L.c.3465","1r",11567,"Newsletters","http://luna.folger.edu/luna/servlet/detail/FOLGERCM1~6~6~1195499~191727","http://hamnet.folger.edu/cgi-bin/Pwebrecon.cgi?BBID=245155"
"5166","091559.jpg",11498,"Newdigate family collection of newsletters from the Secretary of State [manuscript], 1673/4-1715.","England and Wales. Secretary of State.","1673/4-1715","L.c.3465","1v",11568,"Newsletters","http://luna.folger.edu/luna/servlet/detail/FOLGERCM1~6~6~1195500~191726","http://hamnet.folger.edu/cgi-bin/Pwebrecon.cgi?BBID=245155"
"5167","091560.jpg",11499,"Newdigate family collection of newsletters from the Secretary of State [manuscript], 1673/4-1715.","England and Wales. Secretary of State.","1673/4-1715","L.c.3466","1r",11569,"Newsletters","http://luna.folger.edu/luna/servlet/detail/FOLGERCM1~6~6~1195501~191725","http://hamnet.folger.edu/cgi-bin/Pwebrecon.cgi?BBID=245155"
"5168","091561.jpg",11500,"Newdigate family collection of newsletters from the Secretary of State [manuscript], 1673/4-1715.","England and Wales. Secretary of State.","1673/4-1715","L.c.3466","1v",11570,"Newsletters","http://luna.folger.edu/luna/servlet/detail/FOLGERCM1~6~6~1195502~191724","http://hamnet.folger.edu/cgi-bin/Pwebrecon.cgi?BBID=245155"
"5169","091562.jpg",11501,"Newdigate family collection of newsletters from the Secretary of State [manuscript], 1673/4-1715.","England and Wales. Secretary of State.","1673/4-1715","L.c.3467","1r",11571,"Newsletters","http://luna.folger.edu/luna/servlet/detail/FOLGERCM1~6~6~1195503~191723","http://hamnet.folger.edu/cgi-bin/Pwebrecon.cgi?BBID=245155"
"5170","091563.jpg",11502,"Newdigate family collection of newsletters from the Secretary of State [manuscript], 1673/4-1715.","England and Wales. Secretary of State.","1673/4-1715","L.c.3467","1v",11572,"Newsletters","http://luna.folger.edu/luna/servlet/detail/FOLGERCM1~6~6~1195504~191722","http://hamnet.folger.edu/cgi-bin/Pwebrecon.cgi?BBID=245155"
"5171","091564.jpg",11503,"Newdigate family collection of newsletters from the Secretary of State [manuscript], 1673/4-1715.","England and Wales. Secretary of State.","1673/4-1715","L.c.3468","1r",11573,"Newsletters","http://luna.folger.edu/luna/servlet/detail/FOLGERCM1~6~6~1195505~191721","http://hamnet.folger.edu/cgi-bin/Pwebrecon.cgi?BBID=245155"
"5172","091565.jpg",11504,"Newdigate family collection of newsletters from the Secretary of State [manuscript], 1673/4-1715.","England and Wales. Secretary of State.","1673/4-1715","L.c.3468","1v",11574,"Newsletters","http://luna.folger.edu/luna/servlet/detail/FOLGERCM1~6~6~1195506~191720","http://hamnet.folger.edu/cgi-bin/Pwebrecon.cgi?BBID=245155"
"5173","091566.jpg",11505,"Newdigate family collection of newsletters from the Secretary of State [manuscript], 1673/4-1715.","England and Wales. Secretary of State.","1673/4-1715","L.c.3469","1r",11575,"Newsletters","http://luna.folger.edu/luna/servlet/detail/FOLGERCM1~6~6~1195507~191719","http://hamnet.folger.edu/cgi-bin/Pwebrecon.cgi?BBID=245155"
"5174","091567.jpg",11506,"Newdigate family collection of newsletters from the Secretary of State [manuscript], 1673/4-1715.","England and Wales. Secretary of State.","1673/4-1715","L.c.3469","1v",11576,"Newsletters","http://luna.folger.edu/luna/servlet/detail/FOLGERCM1~6~6~1195508~191718","http://hamnet.folger.edu/cgi-bin/Pwebrecon.cgi?BBID=245155"
"5175","091568.jpg",11507,"Newdigate family collection of newsletters from the Secretary of State [manuscript], 1673/4-1715.","England and Wales. Secretary of State.","1673/4-1715","L.c.3470","1r",11577,"Newsletters","http://luna.folger.edu/luna/servlet/detail/FOLGERCM1~6~6~1195509~191717","http://hamnet.folger.edu/cgi-bin/Pwebrecon.cgi?BBID=245155"
"5176","091569.jpg",11508,"Newdigate family collection of newsletters from the Secretary of State [manuscript], 1673/4-1715.","England and Wales. Secretary of State.","1673/4-1715","L.c.3470","1v",11578,"Newsletters","http://luna.folger.edu/luna/servlet/detail/FOLGERCM1~6~6~1195510~191716","http://hamnet.folger.edu/cgi-bin/Pwebrecon.cgi?BBID=245155"
"5177","091570.jpg",11509,"Newdigate family collection of newsletters from the Secretary of State [manuscript], 1673/4-1715.","England and Wales. Secretary of State.","1673/4-1715","L.c.3471","1r",11579,"Newsletters","http://luna.folger.edu/luna/servlet/detail/FOLGERCM1~6~6~1195511~191715","http://hamnet.folger.edu/cgi-bin/Pwebrecon.cgi?BBID=245155"
"5178","091571.jpg",11510,"Newdigate family collection of newsletters from the Secretary of State [manuscript], 1673/4-1715.","England and Wales. Secretary of State.","1673/4-1715","L.c.3471","1v",11580,"Newsletters","http://luna.folger.edu/luna/servlet/detail/FOLGERCM1~6~6~1195512~191714","http://hamnet.folger.edu/cgi-bin/Pwebrecon.cgi?BBID=245155"
"5179","091572.jpg",11511,"Newdigate family collection of newsletters from the Secretary of State [manuscript], 1673/4-1715.","England and Wales. Secretary of State.","1673/4-1715","L.c.3472","1r",11581,"Newsletters","http://luna.folger.edu/luna/servlet/detail/FOLGERCM1~6~6~1195513~191713","http://hamnet.folger.edu/cgi-bin/Pwebrecon.cgi?BBID=245155"
"5180","091573.jpg",11512,"Newdigate family collection of newsletters from the Secretary of State [manuscript], 1673/4-1715.","England and Wales. Secretary of State.","1673/4-1715","L.c.3472","1v",11582,"Newsletters","http://luna.folger.edu/luna/servlet/detail/FOLGERCM1~6~6~1195514~191712","http://hamnet.folger.edu/cgi-bin/Pwebrecon.cgi?BBID=245155"
"5181","091574.jpg",11513,"Newdigate family collection of newsletters from the Secretary of State [manuscript], 1673/4-1715.","England and Wales. Secretary of State.","1673/4-1715","L.c.3473","1r",11583,"Newsletters","http://luna.folger.edu/luna/servlet/detail/FOLGERCM1~6~6~1195515~191711","http://hamnet.folger.edu/cgi-bin/Pwebrecon.cgi?BBID=245155"
"5182","091575.jpg",11514,"Newdigate family collection of newsletters from the Secretary of State [manuscript], 1673/4-1715.","England and Wales. Secretary of State.","1673/4-1715","L.c.3473","1v",11584,"Newsletters","http://luna.folger.edu/luna/servlet/detail/FOLGERCM1~6~6~1195516~191710","http://hamnet.folger.edu/cgi-bin/Pwebrecon.cgi?BBID=245155"
